id,HI,P,Psi,PET,PETsi,CORR,TA,ELEV
AT-0001,1.35182925312153,1086.76818686367,0.262219310489031,803.924152665134,0.45721458740216,0.884666723184333,6.00614307778342,983.145882352941
AT-0003,1.2271267318474,960.956734974921,0.296435705391459,783.094940429039,0.526873656928293,0.86792670825075,6.18546153718217,1239.14208225507
AT-0004,1.77520216004625,1354.69799522492,0.280176628604586,763.12322377392,0.474703515162256,0.857837989220682,4.93126072917047,1482.12049380503
AT-0005,1.47378009269713,1270.92984047743,0.269377493532496,862.360569785912,0.492404823717473,0.874755204081279,7.63015264550654,819.203428615755
AT-0006,2.12178752178725,1544.85724497446,0.213438161266372,728.092341533417,0.417128748384999,0.901914745700557,3.36822269480645,1184.59165650819
AT-0008,0.971473241349993,881.202834687736,0.387105199920682,907.078854239141,0.520894158640056,0.922524381224066,8.49971156423035,680.280317340385
AT-0011,2.09626369127944,1483.54100280157,0.211048884483379,707.707245502164,0.420113002211253,0.898377572116503,3.22138264706811,1032.51400423993
AT-0014,1.42813322623455,1140.78052093151,0.268022934186194,798.791387228855,0.461725846599871,0.918618796620695,5.61738334574266,903.757645647862
AT-0016,1.34457287528382,1065.73617736991,0.266568665539512,792.620613549825,0.492767182227225,0.871097653383055,6.30629339829794,948.724931537164
AT-0018,1.38574679276301,1093.18091180089,0.299391054855999,788.874935529324,0.504334688514776,0.930944097466881,5.69388816109709,1160.00058451565
AT-0030,1.87342611000663,1413.5,0.238356325904964,754.5,0.443450408659156,0.868793250746766,3.01527778276553,1334.54904051173
AT-0032,1.74206440498297,1457.38942088291,0.212165611017376,836.587566288721,0.548331732828928,0.564755037093058,8.52099363453622,959.238875611699
AT-0034,1.39807145589171,1154.56537707602,0.282178200038405,825.827157982869,0.46717397719361,0.936317567185746,5.82018103117495,912.401171253512
AT-0036,1.20141502122744,988.800302308115,0.298106999278316,823.029748119758,0.501224368643126,0.927445089784137,6.72631876651415,895.976382380506
AT-0040,2.89973943582191,1828.28571428572,0.162603531801844,630.5,0.408311619651826,0.889762041435095,-0.723809529761119,1348.94928598997
AT-0042,1.95788199977048,1434.22561768024,0.22153423147937,732.539355205457,0.401152488688247,0.893242856631632,3.91093462765586,929.904883347502
AT-0044,2.35612691466083,1656.53846153846,0.198753966411268,703.076923076923,0.425747629467542,0.918741875524185,0.883974379549424,1777.54187274709
AT-0045,1.68030881620455,1265.0625,0.255051627883998,752.875,0.481653660966296,0.96041737718454,4.77916662418284,1187.7696674777
AT-0047,1.53503335509242,1179.04534511949,0.271039833308846,768.09102630119,0.507694456597014,0.85190033355006,5.42158394611084,1492.54130434783
AT-0049,1.47751752983003,1283.03481411106,0.277644322248648,868.371974076451,0.463544524903726,0.885275430449426,5.9387493906478,1671.14881266491
AT-0051,1.88129554318959,1405.3292326689,0.238615149933675,747.000777074228,0.425926714501236,0.928373307799331,2.04796896136781,1475.7230080573
AT-0053,1.57597816196542,1237.14285714286,0.242802155504234,785,0.416166211707613,0.950237913498228,3.12619048898064,1924.90158627387
AT-0055,1.59053069719043,1222.8,0.267582597317632,768.8,0.436697884148457,0.924707379485108,2.91000001691282,1594.8488372093
AT-0057,1.36270777799419,1190.80604417881,0.322074599154137,873.852827002714,0.491015421701613,0.919224731057192,7.62971076683616,1585.73193787981
AT-0059,1.45009491972117,1232.34876028485,0.316479205453961,849.840064622669,0.441483016393486,0.949694506017122,5.61399162386155,2102.0335357803
AT-0060,1.67588423835169,1329.05607112891,0.216546595588904,793.047658492269,0.451692896768532,0.860342466993702,3.34573592937633,1531.29632744603
AT-0062,1.3686174337259,1179.97505197018,0.255799628870703,862.165732287831,0.463686420661652,0.855629025180491,5.65497663116475,1876.03081643543
AT-0069-a,1.58070707070707,1203.76923076923,0.254020491192195,761.538461538462,0.491919191919192,0.955041247715298,5.03653845754572,1240.20743779542
AT-0071-a,1.40672013032934,1129.73610945183,0.277852191190086,803.099411954343,0.514233682327097,0.945877738654336,6.04346489190528,1270.79388129951
AT-0084,1.15975609756098,951,0.283385909568875,820,0.496951219512195,0.917410207716726,6.93124999850988,759.140435835351
AT-0085,1.05781991327268,871.47164843219,0.301875207237089,823.837439149766,0.507200414974493,0.924737829332785,7.47941039471596,594.627043090639
AU-0003,1.39954484898274,1385.76714659947,0.229022951062304,990.155583514677,0.422778445951478,-0.847753383041087,8.35979417563216,503.192737312426
CH-0001,1.46591549295775,1301,0.0959518319241609,887.5,0.487323943661972,0.439580031111122,8.0624999916181,694.089552238806
CH-0020,1.07269676224163,991.311585892877,0.0906977379453577,924.130304841528,0.439261084376515,-0.493448908375128,5.79488520534555,2199.50648384137
CH-0022,0.97300362348906,950.729729729729,0.0988761596118675,977.108108108108,0.459961828893868,-0.259834112696157,7.35292790746232,1950.28829573515
CH-0023,1.55420764148744,1349.74854360844,0.098225909487231,868.44801658334,0.498194413468916,0.543002156894694,7.8130029551376,667.818181818182
CH-0024,1.62485210365985,1400.32762257012,0.0941165800531088,861.818512230122,0.496301923957616,0.490970452842612,7.51156290355464,667.596153846154
CH-0025,1.57420954159141,1355.56379894841,0.0983402827355101,861.107599168806,0.503978462615629,0.562738262264849,7.77780737491396,623.856020942408
CH-0026,1.50259965337955,1300.5,0.101883890811226,865.5,0.507798960138648,0.605821067035984,8.09166671335697,610.203389830509
CH-0027,1.18016579663379,1050.76412795938,0.0793726733493124,890.352974943428,0.530126881139307,0.266815668684518,8.55392583775936,500.579296467432
CN-0018,1.05023714188306,1246.53219471617,0.732081027435415,1186.90545687725,0.199706059547423,0.585086409720697,15.719772992346,1593.78807839209
