id,HI,P,Psi,PET,PETsi,CORR,TA,ELEV
AT-0001,1.25143656675242,1015.26121178101,0.2702548097056,811.276607024275,0.475865260552185,0.885078042477302,6.46632548028068,938.46511627907
AT-0003,2.06123629719751,1466.95427441706,0.220337799979303,711.686610803215,0.432333081293779,0.903812927288135,3.26638414261481,1408.90604664766
AT-0004,2.56181309304389,1705.81818181818,0.196937397854047,665.863636363636,0.397194347737047,0.907846652857302,1.72007575179591,1885.48000895957
AT-0005,1.4948978742795,1290.21857407235,0.262012609481162,863.081415975793,0.518268756537231,0.867229425841382,8.41262055018847,706.774300155521
AT-0006,1.97366948875336,1468.47124641194,0.242579367640159,744.030981266007,0.44014798135709,0.891280955912574,4.20825859327721,1240.57117702831
AT-0008,1.04531167501802,930.639989876628,0.363678046616355,890.299048712513,0.498218900093913,0.934613446579958,7.95976992633651,687.043341708543
AT-0011,1.35917956066924,1073.29467291719,0.27039158107201,789.663635310052,0.491908605074543,0.882965153725216,5.97690145384093,798.688450985283
AT-0014,1.31136164989425,1071.67132328758,0.28342394994044,817.220271291293,0.471135581910797,0.918779590933511,6.04768445837861,848.412702078522
AT-0016,1.20645518921667,979.989835255526,0.275992238924558,812.288632031012,0.491901768398434,0.872929276440941,6.87029147492058,877.874152952565
AT-0018,1.76880844743055,1314.65344353258,0.244582809735778,743.242404479866,0.452494078905414,0.935459560406784,4.20499845635895,1295.20164937483
AT-0030,1.71906209292228,1319.66666666667,0.261976930201229,767.666666666667,0.449341438703141,0.859439679547905,3.95833334326744,1162.44680851064
AT-0032,1.78289771868862,1475.125,0.223893455356891,827.375,0.508687112856927,0.644601058301173,6.44791666775321,781.626492325185
AT-0034,1.6178132515329,1261.42657455977,0.25596928118267,779.710867966096,0.455725252293288,0.940738049593802,4.95819109684055,989.234388221357
AT-0036,1.3241679738842,1078.56174999636,0.281941829740651,814.520341277099,0.482342067107419,0.917395105490798,6.08050462813495,770.225715626466
AT-0040,2.5022526581366,1735.625,0.196122914416037,693.625,0.423830119541058,0.899034413961582,1.17708333581686,1322.77920062088
AT-0042,1.67969260954872,1284.125,0.243469937376294,764.5,0.424460431654676,0.885609888475087,4.88958333184322,1038.33884688091
AT-0044,2.6790228903314,1742.55555555556,0.166868583816872,650.444444444445,0.395911627377292,0.90792741266336,-0.502777780647631,1649.02385935538
AT-0045,1.51582705082492,1191.99513796837,0.274024522880628,786.366186907457,0.495815818220387,0.949209556718446,5.55208976657501,1078.28670721112
AT-0047,1.70425491318451,1276,0.258471413643828,748.714285714286,0.487883991604655,0.86467122985043,4.6595238219237,1492.00494559842
AT-0049,1.49923620626582,1275.56163469036,0.263972708098513,850.807650828707,0.445419459984579,0.895951305755802,5.03890105495733,1420.85789473684
AT-0051,1.76868485251719,1329.16666666667,0.229195402298851,751.5,0.432579285872699,0.904975878359756,1.9152777398833,1169.02139037433
AT-0053,1.75769964568002,1289.8,0.197963508554298,733.8,0.406786590351594,0.909114481489915,1.23000001671414,1700.35714285714
AT-0055,1.3943956503555,1111.33333333333,0.304739052189562,797,0.45064826432455,0.911447788559188,4.16388891720109,1412.13669064748
AT-0057,1.36898464113198,1197.05557308145,0.321928062738629,874.411251313699,0.492857624738858,0.918828945334099,7.60733967666366,1616.36593591906
AT-0059,1.45819397993311,1235.33333333333,0.311027163158842,847.166666666667,0.438520558725162,0.950699519002045,5.48611106889116,2208.10290237467
AT-0060,1.7955925759444,1417.80076849427,0.203884028114801,789.600484814086,0.427727513782579,0.872381197014403,3.06001812030643,1517.49201686039
AT-0062,1.46803377563329,1217,0.235524513831827,829,0.420024125452352,0.879687875358161,3.51333330869675,2287.34623082055
AT-0069-a,1.8300340241262,1314.77777777778,0.222527395137891,718.444444444445,0.462367254356119,0.958795547921591,3.87314813873834,1329.16131907308
AT-0071-a,1.45262447393339,1158.09853246515,0.271537034145124,797.245642798008,0.500719217114655,0.947708231655674,5.71254807703254,1104.98222986529
AT-0084,1.17287721441662,960,0.282291666666667,818.5,0.495418448381185,0.917413445891359,6.86250004172325,647.602409638554
AT-0085,1.04493927125506,860.333333333333,0.30266046751905,823.333333333333,0.512550607287449,0.923958674292922,7.55833330088192,589.681481481481
AU-0003,1.45117234172837,1370.52614509951,0.227510434905983,944.426864880286,0.415546866362081,-0.859002697046438,7.64371197457367,456.817013431657
CH-0001,1.39103641456583,1241.5,0.0986709625453081,892.5,0.483473389355742,0.497958403565748,8.32499999459833,687.076923076923
CH-0020,0.939853380423565,923.530073667051,0.0998479907973177,982.632071026699,0.472380830828368,-0.122780109898657,7.84121176473193,2387.93002752013
CH-0022,1.45306236080178,1242.71428571429,0.0936889297620416,855.238095238096,0.391165553080921,-0.748953399369897,3.62500000730275,2298.29649398221
CH-0023,1.59743739588629,1388.01733382387,0.0964703311438577,868.902491827404,0.491761191315199,0.487903440307394,7.61083431033913,654.818181818182
CH-0024,1.5348564864966,1330.20632055305,0.0999806186290994,866.664950277744,0.502334432989138,0.567318285321869,7.92845723616518,645.033707865169
CH-0025,1.50259965337955,1300.5,0.101883890811226,865.5,0.507798960138648,0.605821067035984,8.09166671335697,605.181818181818
CH-0026,1.47428806210756,1275.9963177541,0.103246500263594,865.5,0.512468913338151,0.625125059682103,8.22428974313086,571.666666666667
CH-0027,1.17135041034569,1046.66666666667,0.078343949044586,893.555555555556,0.527232031832877,0.118969226217219,8.59444442619052,484.091620111732
CN-0018,0.846737765337241,1072.56058940647,0.741988968104508,1266.6974750787,0.190108953482159,0.431684074375305,17.1445154501502,1538.87237293655
