id,HI,P,Psi,PET,PETsi,CORR,TA,ELEV
AT-0001,1.19991655821443,977.864649506491,0.272780662040791,814.943874898791,0.481855509026371,0.887122121625931,6.78444134788279,920.348837209302
AT-0003,1.98480805038836,1423.27376035374,0.227659621401267,717.083830889972,0.447755377177612,0.900663881709071,3.45399058125063,1278.50687234976
AT-0004,2.91174474065277,1801.66547415102,0.159718002958443,618.758041869807,0.389225508839695,0.892620662867049,-0.261353547921137,1646.65003080715
AT-0005,1.4808721422187,1279.90118783346,0.260219749562267,864.288787224978,0.531330783841106,0.867623842075486,8.58376504206238,724.607565470417
AT-0006,1.91234102849734,1447.06200283126,0.250515096972273,756.696625375612,0.439938080334,0.889645762839177,4.53588740896189,1075.11267988053
AT-0008,0.970795337320268,875.733108049149,0.390016290151936,902.077991501769,0.51861863757879,0.927040619212656,8.474574991124,655.545340050378
AT-0011,1.0969671216506,897.36214809888,0.292222132470273,818.039237811088,0.515697690795103,0.886407647709664,7.24374542508371,1135.66887417219
AT-0014,1.10127212777118,907.190451337525,0.310310364292014,823.765923481197,0.505070410221554,0.925755459905242,7.25322861456763,828.709498497804
AT-0016,1.20204825940496,982.969610964229,0.270228830297386,817.745546631233,0.492210199378762,0.872827045284441,7.02130077025896,1004.41857576594
AT-0018,1.53427486093612,1188.8460663735,0.269344697974698,774.858597140893,0.483081604317039,0.937297573789615,5.12521669599371,1170.97583001328
AT-0030,1.71906209292228,1319.66666666667,0.261976930201229,767.666666666667,0.449341438703141,0.859439679547905,3.95833334326744,1124.0585106383
AT-0032,1.75520910291235,1452.73916213489,0.227838895348189,827.672987636863,0.511575335323382,0.657522736967829,6.49561807100447,755.009648127128
AT-0034,1.37379671013495,1133.10216994143,0.278530030954209,824.796100894814,0.467847652744461,0.934199240490124,5.94766829762032,834.597837107131
AT-0036,1.12044698652337,922.162573927022,0.309092980657026,823.030973369297,0.518200923322227,0.931780720554295,7.16854493831562,861.805984104722
AT-0040,2.43529065386668,1712.77954101238,0.199635735822232,703.316270808528,0.408091591201119,0.893388483444566,1.8029270108628,1192.01273148148
AT-0042,1.71950948592431,1324.77300793426,0.232309008193684,770.436580186783,0.409166184913755,0.880770612304891,4.65179804575672,892.656737588653
AT-0044,2.38955408753097,1653.57142857143,0.202519798416127,692,0.420589044866502,0.9221278543963,0.684523796751386,1477.08728493496
AT-0045,1.38511447228813,1122.99906286239,0.295345160974528,810.762637551008,0.514328699127151,0.946808762740645,6.36569754469051,1056.20399884092
AT-0047,1.58015122873346,1194.14285714286,0.268712365912988,755.714285714286,0.50359168241966,0.861949291807522,5.20238094413209,1319.70695609275
AT-0049,1.47776073619632,1284.66666666667,0.276682234907455,869.333333333334,0.460122699386503,0.888536790117431,5.8499999816219,1578.30263157895
AT-0051,1.68930523028884,1298.4,0.245224892174985,768.6,0.440150923757481,0.902248819308919,2.45666664304833,892.87802690583
AT-0053,1.72297297297297,1275,0.205490196078431,740,0.409234234234234,0.918259766106915,1.44583334230507,1643.76136363636
AT-0055,1.3943956503555,1111.33333333333,0.304739052189562,797,0.450648264324551,0.911447788559188,4.16388891720109,1390.50724637681
AT-0057,1.36755006738112,1196.24510051035,0.321916493112867,874.7358718655,0.492905683044659,0.918536904347071,7.61876985312751,1453.8883248731
AT-0059,1.45819397993311,1235.33333333333,0.311027163158842,847.166666666667,0.438520558725162,0.950699519002044,5.48611106889115,2188.9907773386
AT-0060,1.73033494867816,1405.81932448606,0.218787683756318,812.4550252886,0.440304768377209,0.871559298757678,3.88562424426231,1395.71282705807
AT-0062,2.24667184962378,1575.54646834251,0.126092509001976,701.280193013655,0.329639246572994,0.803813485206365,-0.715212565205223,2129.41989319092
AT-0069-a,1.79819395367099,1308.57142857143,0.224090247452693,727.714285714286,0.453670985473106,0.96121139619541,3.7749999607248,1231.24821746881
AT-0071-a,1.379649583928,1110.2983724003,0.282304670930333,804.768388534697,0.524253162052267,0.947510706509936,6.2505797874758,1291.09291654718
AT-0084,1.17183483120983,959.210138960087,0.282404213784162,818.554043123783,0.495583807543426,0.917420451575711,6.86814685507506,657.975903614458
AT-0085,1.04210526315789,858,0.304195804195804,823.333333333333,0.510931174089069,0.924193186923039,7.57777780625555,543.874074074074
AU-0003,1.37248531058678,1380.49550954754,0.235301705719057,1005.83627299977,0.413201015188032,-0.85838375648339,8.73523778697128,362.037908703206
CH-0001,1.39103641456583,1241.5,0.0986709625453081,892.5,0.483473389355742,0.497958403565748,8.32499999459833,678.538461538462
CH-0020,1.0300130491518,1014.85714285714,0.0987237237237236,985.285714285715,0.455608718766613,-0.32440680805144,7.37698413106421,2315.12307535434
CH-0022,1.81491103763187,1356.05882352941,0.0892147081363235,747.176470588235,0.354668556132892,-0.861457294141859,-0.324019615958426,1978.1563285834
CH-0023,1.55686689115422,1350.7238661279,0.0981629984692747,867.591104803125,0.499080864507711,0.535348133113347,7.81374649997816,650.181818181818
CH-0024,1.50259965337955,1300.5,0.101883890811226,865.5,0.507798960138648,0.605821067035984,8.09166671335697,637.438202247191
CH-0025,1.50259965337955,1300.5,0.101883890811226,865.5,0.507798960138648,0.605821067035984,8.09166671335697,603.376623376623
CH-0026,1.44656268053148,1252,0.104632587859425,865.5,0.517042172154824,0.643391567299015,8.35416672782352,580.25
CH-0027,1.1549183396723,1035.13685942876,0.0800445164410487,896.2857579372,0.527893401316713,0.0934831399746303,8.67623366824045,457.272151898734
CN-0018,0.80842441140581,1065.19794260968,0.746422552665167,1317.62218901499,0.191131855372019,0.455033195150163,18.2679631557779,1466.92036417828
